taxon,standardized_taxon_name,common_name,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species,notes
nene (branta sandvicensis):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,branta,sandvicensis,
branta sandvicensis,bird,,aves,anseriformes,anatidae,branta,sandvicensis,
bufflehead (bucephala albeola):anatidae-anseriformes,bird,bufflehead,aves,anseriformes,anatidae,bucephala,albeola,
bucephala albeola,bird,bufflehead,aves,anseriformes,anatidae,bucephala,albeola,
common goldeneye (bucephala clangula):anatidae-anseriformes,bird,common goldeneye,aves,anseriformes,anatidae,bucephala,clangula,
bucephala clangula,bird,common goldeneye,aves,anseriformes,anatidae,bucephala,clangula,
bucephala islandica,bird,barrow's goldeneye,aves,anseriformes,anatidae,bucephala,islandica,
muscovy duck (cairina moschata):anatidae-anseriformes,bird,muscovy duck,aves,anseriformes,anatidae,cairina,moschata,
cairina moschata,bird,muscovy duck,aves,anseriformes,anatidae,cairina,moschata,
maned duck (chenonetta jubata):anatidae-anseriformes,bird,maned duck,aves,anseriformes,anatidae,chenonetta,jubata,
chenonetta jubata,bird,maned duck,aves,anseriformes,anatidae,chenonetta,jubata,
chloephaga melanoptera,bird,andean goose,aves,anseriformes,anatidae,chloephaga,melanoptera,
coscoroba swan (coscoroba coscoroba):anatidae-anseriformes,bird,coscoroba swan,aves,anseriformes,anatidae,coscoroba,coscoroba,
coscoroba coscoroba,bird,coscoroba swan,aves,anseriformes,anatidae,coscoroba,coscoroba,
black swan (cygnus atratus):anatidae-anseriformes,bird,black swan,aves,anseriformes,anatidae,cygnus,atratus,
cygnus atratus,bird,black swan,aves,anseriformes,anatidae,cygnus,atratus,
bewick's swan (cygnus bewickii):anatidae-anseriformes,bird,bewick's swan,aves,anseriformes,anatidae,cygnus,bewickii,
cygnus bewickii,bird,bewick's swan,aves,anseriformes,anatidae,cygnus,bewickii,
trumpeter swan (cygnus buccinator):anatidae-anseriformes,bird,trumperter swan,aves,anseriformes,anatidae,cygnus,buccinator,
cygnus buccinator,bird,trumperter swan,aves,anseriformes,anatidae,cygnus,buccinator,
tundra swan (cygnus columbianus):anatidae-anseriformes,bird,tundra swan,aves,anseriformes,anatidae,cygnus,columbianus,
cygnus columbianus,bird,tundra swan,aves,anseriformes,anatidae,cygnus,columbianus,
whooper swan (cygnus cygnus):anatidae-anseriformes,bird,common whooper,aves,anseriformes,anatidae,cygnus,cygnus,
cygnus cygnus,bird,common whooper,aves,anseriformes,anatidae,cygnus,cygnus,
cygnus melancoryphus,bird,black-necked swan,aves,anseriformes,anatidae,cygnus,melancoryphus,
mute swan (cygnus olor):anatidae-anseriformes,bird,mute swan,aves,anseriformes,anatidae,cygnus,olor,
cygnus olor,bird,mute swan,aves,anseriformes,anatidae,cygnus,olor,
cygnus (unidentified) (cygnus (incognita)):anatidae-anseriformes,bird,swans,aves,anseriformes,anatidae,cygnus,,
cygnus (incognita),bird,swans,aves,anseriformes,anatidae,cygnus,,
dendrocygna bicolor,bird,fulvous whistling-duck,aves,anseriformes,anatidae,dendrocygna,bicolor,
plumed whistling-duck (dendrocygna eytoni):anatidae-anseriformes,bird,plumed whistling-duck,aves,anseriformes,anatidae,dendrocygna,eytoni,
dendrocygna eytoni,bird,plumed whistling-duck,aves,anseriformes,anatidae,dendrocygna,eytoni,
dendrocygna viduata,bird,white-faced whistling-duck,aves,anseriformes,anatidae,dendrocygna,viduata,
hooded merganser (lophodytes cucullatus):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,lophodytes,cucullatus,
lophodytes cucullatus,bird,,aves,anseriformes,anatidae,lophodytes,cucullatus,
american wigeon (anas americana):anatidae-anseriformes,bird,american wigeon,aves,anseriformes,anatidae,mareca,americana,genus updated to mareca
anas americana,bird,american wigeon,aves,anseriformes,anatidae,mareca,americana,
marbled teal (marmaronetta angustirostris):anatidae-anseriformes,bird,marbled teal,aves,anseriformes,anatidae,marmaronetta,angustirostris,
marmaronetta angustirostris,bird,marbled teal,aves,anseriformes,anatidae,marmaronetta,angustirostris,
melanitta fusca,bird,velvet scoter,aves,anseriformes,anatidae,melanitta,fusca,
melanitta nigra,bird,european common scoter,aves,anseriformes,anatidae,melanitta,nigra,
surf scoter (melanitta perspicillata):anatidae-anseriformes,bird,surf scoter,aves,anseriformes,anatidae,melanitta,perspicillata,
melanitta perspicillata,bird,surf scoter,aves,anseriformes,anatidae,melanitta,perspicillata,
mergellus albellus,bird,smew,aves,anseriformes,anatidae,mergellus,albellus,
common merganser (mergus merganser):anatidae-anseriformes,bird,common merganser,aves,anseriformes,anatidae,mergus,merganser,
mergus merganser,bird,common merganser,aves,anseriformes,anatidae,mergus,merganser,
red-breasted merganser (mergus serrator):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,mergus,serrator,
mergus serrator,bird,,aves,anseriformes,anatidae,mergus,serrator,
mergus squamatus,bird,scaly-sided merganser,aves,anseriformes,anatidae,mergus,squamatus,
red-crested pochard (netta rufina):anatidae-anseriformes,bird,red-crested pochard,aves,anseriformes,anatidae,netta,rufina,
netta rufina,bird,red-crested pochard,aves,anseriformes,anatidae,netta,rufina,
oxyura jamaicensis,bird,ruddy duck,aves,anseriformes,anatidae,oxyura,jamaicensis,
spur-winged goose (plectropterus gambensis):anatidae-anseriformes,bird,spur-winged goose,aves,anseriformes,anatidae,plectropterus,gambensis,
plectropterus gambensis,bird,spur-winged goose,aves,anseriformes,anatidae,plectropterus,gambensis,
anas formosa,bird,baikal teal,aves,anseriformes,anatidae,sibirionetta,formosa,genus updated to sibirionetta
common eider (somateria mollissima):anatidae-anseriformes,bird,common eider,aves,anseriformes,anatidae,somateria,mollissima,
somateria mollissima,bird,common eider,aves,anseriformes,anatidae,somateria,mollissima,
spatula puna,bird,,aves,anseriformes,anatidae,spatula,puna,
garganey (spatula querquedula):anatidae-anseriformes,bird,garganey,aves,anseriformes,anatidae,spatula,querquedula,
spatula querquedula,bird,garganey,aves,anseriformes,anatidae,spatula,querquedula,
anas rhynchotis,bird,australasian shoveler,aves,anseriformes,anatidae,spatula,rhynchotis,genus updated to spatula
ruddy shelduck (tadorna ferruginea):anatidae-anseriformes,bird,ruddy shelduck,aves,anseriformes,anatidae,tadorna,ferruginea,
tadorna ferruginea,bird,ruddy shelduck,aves,anseriformes,anatidae,tadorna,ferruginea,
common shelduck (tadorna tadorna):anatidae-anseriformes,bird,common shelduck,aves,anseriformes,anatidae,tadorna,tadorna,
tadorna tadorna,bird,common shelduck,aves,anseriformes,anatidae,tadorna,tadorna,
anatidae (unidentified) (anatidae (incognita)):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,,,
anserinae (unidentified) (anserinae (unidentified)):anatidae-anseriformes,bird,,aves,anseriformes,anatidae,,,
anatidae (incognita),bird,,aves,anseriformes,anatidae,,,
anserinae (unidentified),bird,,aves,anseriformes,anatidae,,,
caprimulgus fossii,bird,,aves,caprimulgiformes,caprimulgidae,caprimulgus,fossil,
casuariidae (unidentified) (casuariidae (incognita)):casuariidae-casuariiformes,bird,,aves,casuariiformes,casuariidae,,,
casuariidae (incognita),bird,,aves,casuariiformes,casuariidae,,,
emu (dromaius novaehollandiae):dromaiidae-casuariiformes,bird,emu,aves,casuariiformes,dromaiidae,dromaius,novaehollandiae,
dromaius novaehollandiae,bird,emu,aves,casuariiformes,dromaiidae,dromaius,novaehollandiae,
larus novaehollandiae,bird,emu,aves,casuariiformes,dromaiidae,dromaius,novaehollandiae,
dromaiidae (unidentified) (dromaiidae (incognita)):dromaiidae-casuariiformes,bird,,aves,casuariiformes,dromaiidae,,,
dromaiidae (incognita),bird,,aves,casuariiformes,dromaiidae,,,
razorbill (alca torda):alcidae-charadriiformes,bird,razorbill,aves,charadriiformes,alcidae,alca,torda,
alca torda,bird,razorbill,aves,charadriiformes,alcidae,alca,torda,
dovekie (alle alle):alcidae-charadriiformes,bird,,aves,charadriiformes,alcidae,alle,alle,
alle alle,bird,,aves,charadriiformes,alcidae,alle,alle,
black guillemot (cepphus grylle):alcidae-charadriiformes,bird,,aves,charadriiformes,alcidae,cepphus,grylle,
cepphus grylle,bird,,aves,charadriiformes,alcidae,cepphus,grylle,
atlantic puffin (fratercula arctica):alcidae-charadriiformes,bird,atlantic puffin,aves,charadriiformes,alcidae,fratercula,arctica,
fratercula arctica,bird,atlantic puffin,aves,charadriiformes,alcidae,fratercula,arctica,
common murre (uria aalge):alcidae-charadriiformes,bird,common murre,aves,charadriiformes,alcidae,uria,aalge,
uria aalge,bird,common murre,aves,charadriiformes,alcidae,uria,aalge,
thick-billed murre (uria lomvia):alcidae-charadriiformes,bird,thick-billed guillemot,aves,charadriiformes,alcidae,uria,lomvia,
uria lomvia,bird,thick-billed guillemot,aves,charadriiformes,alcidae,uria,lomvia,
alcidae (unidentified) (alcidae (incognita)):alcidae-charadriiformes,bird,,aves,charadriiformes,alcidae,,,
alcidae (incognita),bird,,aves,charadriiformes,alcidae,,,
kentish plover (charadrius alexandrinus):charadriidae-charadriiformes,bird,kentish plover,aves,charadriiformes,charadriidae,charadrius,alexandrinus,
charadrius alexandrinus,bird,kentish plover,aves,charadriiformes,charadriidae,charadrius,alexandrinus,
little ringed plover (charadrius dubius):charadriidae-charadriiformes,bird,little ringed plover,aves,charadriiformes,charadriidae,charadrius,dubius,
charadrius dubius,bird,little ringed plover,aves,charadriiformes,charadriidae,charadrius,dubius,
common ringed plover (charadrius hiaticula):charadriidae-charadriiformes,bird,common ringed plover,aves,charadriiformes,charadriidae,charadrius,hiaticula,
charadrius hiaticula,bird,common ringed plover,aves,charadriiformes,charadriidae,charadrius,hiaticula,
charadrius mongolus,bird,,aves,charadriiformes,charadriidae,charadrius,mongolus,
charadrius nivosus,bird,snowy plover,aves,charadriiformes,charadriidae,charadrius,nivosus,
spur-winged lapwing (vanellus spinosus):charadriidae-charadriiformes,bird,spur-winged plover,aves,charadriiformes,charadriidae,vanellus,spinosus,
vanellus spinosus,bird,spur-winged plover,aves,charadriiformes,charadriidae,vanellus,spinosus,
northern lapwing (vanellus vanellus):charadriidae-charadriiformes,bird,,aves,charadriiformes,charadriidae,vanellus,vanellus,
vanellus vanellus,bird,,aves,charadriiformes,charadriidae,vanellus,vanellus,
charadriidae (unidentified) (charadriidae (incognita)):charadriidae-charadriiformes,bird,,aves,charadriiformes,charadriidae,,,
charadriidae (incognita),bird,,aves,charadriiformes,charadriidae,,,
african black oystercatcher (haematopus moquini):haematopodidae-charadriiformes,bird,african oystercatcher,aves,charadriiformes,haematopodidae,haematopus,moquini,
haematopus moquini,bird,african oystercatcher,aves,charadriiformes,haematopodidae,haematopus,moquini,
eurasian oystercatcher (haematopus ostralegus):haematopodidae-charadriiformes,bird,eurasian oystercatcher,aves,charadriiformes,haematopodidae,haematopus,ostralegus,
haematopus ostralegus,bird,eurasian oystercatcher,aves,charadriiformes,haematopodidae,haematopus,ostralegus,
haematopus palliatus,bird,american oystercatcher,aves,charadriiformes,haematopodidae,haematopus,palliatus,
haematopodidae (unidentified) (haematopodidae (incognita)):haematopodidae-charadriiformes,bird,,aves,charadriiformes,haematopodidae,,,
haematopodidae (incognita),bird,,aves,charadriiformes,haematopodidae,,,
chlidonias hybrida,bird,whiskered tern,aves,charadriiformes,laridae,chlidonias,hybrida,
chlidonias leucopterus,bird,white-winged tern,aves,charadriiformes,laridae,chlidonias,leucopterus,
larus brunicephalus,bird,brown-headed gull,aves,charadriiformes,laridae,chroicocephalus,brunnicephalus,genus updated to chroicocephalus. Species updated to brunnicephalus
grey-headed gull (chroicocephalus cirrocephalus):laridae-charadriiformes,bird,grey-headed gull,aves,charadriiformes,laridae,chroicocephalus,cirrocephalus,
chroicocephalus cirrocephalus,bird,grey-headed gull,aves,charadriiformes,laridae,chroicocephalus,cirrocephalus,
hartlaub's gull (chroicocephalus hartlaubii):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,chroicocephalus,hartlaubii,
chroicocephalus hartlaubii,bird,,aves,charadriiformes,laridae,chroicocephalus,hartlaubii,
larus philadelphia,bird,,aves,charadriiformes,laridae,chroicocephalus,michahellis,genus updated to chroicocephalus
black-headed gull (chroicocephalus ridibundus):laridae-charadriiformes,bird,black-headed gull,aves,charadriiformes,laridae,chroicocephalus,ridibundus,
black-headed gull (larus ridibundus):laridae-charadriiformes,bird,black-headed gull,aves,charadriiformes,laridae,chroicocephalus,ridibundus,genus updated to chroicocephalus
larus ridibundus,bird,black-headed gull,aves,charadriiformes,laridae,chroicocephalus,ridibundus,genus to chroicocephalus
chroicocephalus ridibundus,bird,black-headed gull,aves,charadriiformes,laridae,chroicocephalus,ridibundus,
larus scopulinus,bird,,aves,charadriiformes,laridae,chroicocephalus,scopulinus,genus updated to chroicocephalus
caspian tern (hydroprogne caspia):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,hydroprogne,caspia,
hydroprogne caspia,bird,,aves,charadriiformes,laridae,hydroprogne,caspia,
mediterranean gull (ichthyaetus melanocephalus):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,ichthyaetus,melanocephalus,
ichthyaetus melanocephalus,bird,,aves,charadriiformes,laridae,ichthyaetus,melanocephalus,
larosterna inca,bird,inca tern,aves,charadriiformes,laridae,larosterna,inca,
herring gull (larus argentatus):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,argentatus,
larus argentatus,bird,,aves,charadriiformes,laridae,larus,argentatus,
armenian gull (larus armenicus):laridae-charadriiformes,bird,armenian gull,aves,charadriiformes,laridae,larus,armenicus,
larus armenicus,bird,armenian gull,aves,charadriiformes,laridae,larus,armenicus,
larus belcheri,bird,,aves,charadriiformes,laridae,larus,belcheri,
larus brachyrhynchus,bird,,aves,charadriiformes,laridae,larus,brachyrhynchus,
caspian gull (larus cachinnans):laridae-charadriiformes,bird,caspian gull,aves,charadriiformes,laridae,larus,cachinnans,
larus cachinnans,bird,caspian gull,aves,charadriiformes,laridae,larus,cachinnans,
california gull (larus californicus):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,californicus,
larus californicus,bird,,aves,charadriiformes,laridae,larus,californicus,
mew gull (larus canus):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,canus,
larus canus,bird,,aves,charadriiformes,laridae,larus,canus,
larus crassirostris,bird,,aves,charadriiformes,laridae,larus,crassirostris,
ring-billed gull (larus delawarensis):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,delawarensis,
larus delawarensis,bird,,aves,charadriiformes,laridae,larus,delawarensis,
kelp gull (larus dominicanus):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,dominicanus,
larus dominicanus,bird,,aves,charadriiformes,laridae,larus,dominicanus,
lesser black-backed gull (larus fuscus):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,fuscus,
larus fuscus,bird,,aves,charadriiformes,laridae,larus,fuscus,
larus glaucescens,bird,glaucous-winged gull,aves,charadriiformes,laridae,larus,glaucescens,
iceland gull (larus glaucoides):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,glaucoides,
larus glaucoides,bird,,aves,charadriiformes,laridae,larus,glaucoides,
larus thayeri,bird,,aves,charadriiformes,laridae,larus,glaucoides,species updated to glaucoides
larus hyperboreus,bird,,aves,charadriiformes,laridae,larus,hyperboreus,
great black-headed gull (larus ichthyaetus):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,ichthyaetus,
larus ichthyaetus,bird,,aves,charadriiformes,laridae,larus,ichthyaetus,
great black-backed gull (larus marinus):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,larus,marinus,
larus marinus,bird,,aves,charadriiformes,laridae,larus,marinus,
yellow-legged gull (larus michahellis):laridae-charadriiformes,bird,yellow-legged gull,aves,charadriiformes,laridae,larus,michahellis,
larus michahellis,bird,yellow-legged gull,aves,charadriiformes,laridae,larus,michahellis,
larus occidentalis,bird,,aves,charadriiformes,laridae,larus,occidentalis,
slaty-backed gull (larus schistisagus):laridae-charadriiformes,bird,slaty-backed gull,aves,charadriiformes,laridae,larus,schistisagus,
larus schistisagus,bird,slaty-backed gull,aves,charadriiformes,laridae,larus,schistisagus,
larus atricilla,bird,laughing gull,aves,charadriiformes,laridae,leucophaeus,atricilla,
leucophaeus modestus,bird,grey gull,aves,charadriiformes,laridae,leucophaeus,modestus,
franklin's gull (larus pipixcan):laridae-charadriiformes,bird,franklin's gull,aves,charadriiformes,laridae,leucophaeus,pipixcan,genus updated to leucophaeus
larus pipixcan,bird,franklin's gull,aves,charadriiformes,laridae,leucophaeus,pipixcan,
black-legged kittiwake (rissa tridactyla):laridae-charadriiformes,bird,black-legged kittiwake,aves,charadriiformes,laridae,rissa,tridactyla,
rissa tridactyla,bird,black-legged kittiwake,aves,charadriiformes,laridae,rissa,tridactyla,
rynchops niger,bird,black skimmer,aves,charadriiformes,laridae,rynchops,niger,
sterna forsteri,bird,forster's tern,aves,charadriiformes,laridae,sterna,forsteri,
sterna hirundinacea,bird,south american tern,aves,charadriiformes,laridae,sterna,hirundinacea,
common tern (sterna hirundo):laridae-charadriiformes,bird,common tern,aves,charadriiformes,laridae,sterna,hirundo,
sterna hirundo,bird,common tern,aves,charadriiformes,laridae,sterna,hirundo,
arctic tern (sterna paradisaea):laridae-charadriiformes,bird,arctic tern,aves,charadriiformes,laridae,sterna,paradisaea,
sterna paradisaea,bird,arctic tern,aves,charadriiformes,laridae,sterna,paradisaea,
swift tern (thalasseus bergii):laridae-charadriiformes,bird,great crested-tern,aves,charadriiformes,laridae,thalasseus,bergii,
thalasseus bergii,bird,great crested-tern,aves,charadriiformes,laridae,thalasseus,bergii,
thalasseus elegans,bird,elegant tern,aves,charadriiformes,laridae,thalasseus,elegans,
thalasseus maximus,bird,royal tern,aves,charadriiformes,laridae,thalasseus,maximus,
sandwich tern (thalasseus sandvicensis):laridae-charadriiformes,bird,sandwich tern,aves,charadriiformes,laridae,thalasseus,sandvicensis,
thalasseus sandvicensis,bird,sandwich tern,aves,charadriiformes,laridae,thalasseus,sandvicensis,
xema sabini,bird,,aves,charadriiformes,laridae,xema,sabini,
laridae (unidentified) (laridae (incognita)):laridae-charadriiformes,bird,,aves,charadriiformes,laridae,,,
laridae (incognita),bird,,aves,charadriiformes,laridae,,,
black-winged stilt (himantopus himantopus):charadriidae-charadriiformes,bird,black-winged stilt,aves,charadriiformes,recurvirostridae,himantopus,himantopus,family updated  to Recurvirostridae
himantopus himantopus,bird,black-winged stilt,aves,charadriiformes,recurvirostridae,himantopus,himantopus,
pied avocet (recurvirostra avosetta):recurvirostridae-charadriiformes,bird,pied avocet,aves,charadriiformes,recurvirostridae,recurvirostra,avosetta,
recurvirostra avosetta,bird,pied avocet,aves,charadriiformes,recurvirostridae,recurvirostra,avosetta,
calidris alba,bird,,aves,charadriiformes,scolo,calidris,alba,
dunlin (calidris alpina):scolopacidae-charadriiformes,bird,dunlin,aves,charadriiformes,scolo,calidris,alpina,
calidris alpina,bird,dunlin,aves,charadriiformes,scolo,calidris,alpina,
calidris pusilla,bird,semipalmated sandpiper,aves,charadriiformes,scolo,calidris,pusilla,
ruddy turnstone (arenaria interpres):scolopacidae-charadriiformes,bird,ruddy turnstone,aves,charadriiformes,scolopacidae,arenaria,interpres,
arenaria interpres,bird,ruddy turnstone,aves,charadriiformes,scolopacidae,arenaria,interpres,
arenaria melanocephala,bird,black turnstone,aves,charadriiformes,scolopacidae,arenaria,melanocephala,
red knot (calidris canutus):scolopacidae-charadriiformes,bird,red knot,aves,charadriiformes,scolopacidae,calidris,canutus,
calidris canutus,bird,red knot,aves,charadriiformes,scolopacidae,calidris,canutus,
calidris fuscicollis,bird,white-rumped sandpiper,aves,charadriiformes,scolopacidae,calidris,fuscicollis,
purple sandpiper (calidris maritima):scolopacidae-charadriiformes,bird,,aves,charadriiformes,scolopacidae,calidris,martima,
calidris maritima,bird,,aves,charadriiformes,scolopacidae,calidris,martima,
little stint (calidris minuta):scolopacidae-charadriiformes,bird,,aves,charadriiformes,scolopacidae,calidris,minuta,
calidris minuta,bird,,aves,charadriiformes,scolopacidae,calidris,minuta,
ruff (philomachus pugnax):scolopacidae-charadriiformes,bird,ruff,aves,charadriiformes,scolopacidae,calidris,pugnax,genus updated to calidris
philomachus pugnax,bird,ruff,aves,charadriiformes,scolopacidae,calidris,pugnax,
gallinago gallinago,bird,common snipe,aves,charadriiformes,scolopacidae,gallinago,gallinago,
eurasian curlew (numenius arquata):scolopacidae-charadriiformes,bird,eurasian curlew,aves,charadriiformes,scolopacidae,numenius,arquata,
numenius arquata,bird,eurasian curlew,aves,charadriiformes,scolopacidae,numenius,arquata,
numenius phaeopus,bird,,aves,charadriiformes,scolopacidae,numenius,phaeopus,
phalaropus lobatus,bird,red-necked phalarope,aves,charadriiformes,scolopacidae,phalaropus,lobatus,
eurasian woodcock (scolopax rusticola):scolopacidae-charadriiformes,bird,,aves,charadriiformes,scolopacidae,scolopax,rusticola,
scolopax rusticola,bird,,aves,charadriiformes,scolopacidae,scolopax,rusticola,
wood sandpiper (tringa glareola):scolopacidae-charadriiformes,bird,wood sandpiper,aves,charadriiformes,scolopacidae,tringa,glareola,
tringa glareola,bird,wood sandpiper,aves,charadriiformes,scolopacidae,tringa,glareola,
greater yellowlegs (tringa melanoleuca):scolopacidae-charadriiformes,bird,,aves,charadriiformes,scolopacidae,tringa,melanoleuca,
tringa melanoleuca,bird,,aves,charadriiformes,scolopacidae,tringa,melanoleuca,
green sandpiper (tringa ochropus):scolopacidae-charadriiformes,bird,green sandpiper,aves,charadriiformes,scolopacidae,tringa,ochropus,
tringa ochropus,bird,green sandpiper,aves,charadriiformes,scolopacidae,tringa,ochropus,
willet (tringa semipalmata):scolopacidae-charadriiformes,bird,willet,aves,charadriiformes,scolopacidae,tringa,semipalmata,
tringa semipalmata,bird,willet,aves,charadriiformes,scolopacidae,tringa,semipalmata,
tringa totanus,bird,,aves,charadriiformes,scolopacidae,tringa,totanus,
scolopacidae (unidentified) (scolopacidae (incognita)):scolopacidae-charadriiformes,bird,,aves,charadriiformes,scolopacidae,,,
scolopacidae (incognita),bird,,aves,charadriiformes,scolopacidae,,,
stercorarius antarcticus,bird,southern skua,aves,charadriiformes,stercorariidae,stercorarius,antarcticus,
arctic jaeger (stercorarius parasiticus):stercorariidae-charadriiformes,bird,,aves,charadriiformes,stercorariidae,stercorarius,parasiticus,
stercorarius parasiticus,bird,,aves,charadriiformes,stercorariidae,stercorarius,parasiticus,
great skua (stercorarius skua):stercorariidae-charadriiformes,bird,great skua,aves,charadriiformes,stercorariidae,stercorarius,skua,
stercorarius skua,bird,great skua,aves,charadriiformes,stercorariidae,stercorarius,skua,
anastomus oscitans,bird,,aves,ciconiiformes,ciconiidae,anastomus,oscitans,
oriental stork (ciconia boyciana):ciconiidae-ciconiiformes,bird,oriental stork,aves,ciconiiformes,ciconiidae,ciconia,boyciana,
ciconia boyciana,bird,oriental stork,aves,ciconiiformes,ciconiidae,ciconia,boyciana,
white stork (ciconia ciconia):ciconiidae-ciconiiformes,bird,white stork,aves,ciconiiformes,ciconiidae,ciconia,ciconia,
ciconia ciconia,bird,white stork,aves,ciconiiformes,ciconiidae,ciconia,ciconia,
lesser adjutant (leptoptilos javanicus):ciconiidae-ciconiiformes,bird,,aves,ciconiiformes,ciconiidae,leptoptilos,javanicus,
leptoptilos javanicus,bird,,aves,ciconiiformes,ciconiidae,leptoptilos,javanicus,
mycteria americana,bird,wood stork,aves,ciconiiformes,ciconiidae,mycteria,americana,
ciconiidae (unidentified) (ciconiidae (incognita)):ciconiidae-ciconiiformes,bird,,aves,ciconiiformes,ciconiidae,,,
ciconiidae (incognita),bird,,aves,ciconiiformes,ciconiidae,,,
african rock pigeon (columba guinea):columbidae-columbiformes,bird,speckled pigeon,aves,columbiformes,columbidae,columba,guinea,
columba guinea,bird,speckled pigeon,aves,columbiformes,columbidae,columba,guinea,
rock pigeon (rock dove) (columba livia):columbidae-columbiformes,bird,rock pigeon,aves,columbiformes,columbidae,columba,livia,
columba livia,bird,rock pigeon,aves,columbiformes,columbidae,columba,livia,
common wood-pigeon (columba palumbus):columbidae-columbiformes,bird,,aves,columbiformes,columbidae,columba,palumbus,
columba palumbus,bird,,aves,columbiformes,columbidae,columba,palumbus,
streptopelia senegalensis,bird,laughing dove,aves,columbiformes,columbidae,spilopelia,senegalensis,genus updated to spilopelia
ring-necked dove (streptopelia capicola):columbidae-columbiformes,bird,ring-necked dove,aves,columbiformes,columbidae,streptopelia,capicola,
streptopelia capicola,bird,ring-necked dove,aves,columbiformes,columbidae,streptopelia,capicola,
eurasian collared-dove (streptopelia decaocto):columbidae-columbiformes,bird,eurasian collared-dove,aves,columbiformes,columbidae,streptopelia,decaocto,
streptopelia decaocto,bird,eurasian collared-dove,aves,columbiformes,columbidae,streptopelia,decaocto,
laughing dove (streptopelia senegalensis):columbidae-columbiformes,bird,laughing dove,aves,columbiformes,columbidae,streptopelia,senegalensis,
columbidae (unidentified) (columbidae (incognita)):columbidae-columbiformes,bird,,aves,columbiformes,columbidae,,,
columbidae (incognita),bird,,aves,columbiformes,columbidae,,,
caracara cheriway,bird,crested caracara,aves,falconiformes,falconidae,caracara,plancus,genus updated to caracara. Species updated to plancus
lanner falcon (falco biarmicus):falconidae-falconiformes,bird,lanner falcon,aves,falconiformes,falconidae,falco,biarmicus,
falco biarmicus,bird,lanner falcon,aves,falconiformes,falconidae,falco,biarmicus,
saker falcon (falco cherrug):falconidae-falconiformes,bird,saker falcon,aves,falconiformes,falconidae,falco,cherrug,
falco cherrug,bird,saker falcon,aves,falconiformes,falconidae,falco,cherrug,
merlin (falco columbarius):falconidae-falconiformes,bird,,aves,falconiformes,falconidae,falco,columbarius,
falco columbarius,bird,,aves,falconiformes,falconidae,falco,columbarius,
falco mexicanus,bird,prairie falcon,aves,falconiformes,falconidae,falco,mexicanus,
lesser kestrel (falco naumanni):falconidae-falconiformes,bird,lesser kestrel,aves,falconiformes,falconidae,falco,naumanni,
falco naumanni,bird,lesser kestrel,aves,falconiformes,falconidae,falco,naumanni,
peregrin falcon (falco peregrinus):falconidae-falconiformes,bird,peregrine falcon,aves,falconiformes,falconidae,falco,peregrinus,
falco peregrinus,bird,peregrine falcon,aves,falconiformes,falconidae,falco,peregrinus,
gyrfalcon (falco rusticolus):falconidae-falconiformes,bird,gyrfalcon,aves,falconiformes,falconidae,falco,rusticolus,
falco rusticolus,bird,gyrfalcon,aves,falconiformes,falconidae,falco,rusticolus,
american kestrel (falco sparverius):falconidae-falconiformes,bird,,aves,falconiformes,falconidae,falco,sparverius,
falco sparverius,bird,,aves,falconiformes,falconidae,falco,sparverius,
eurasian hobby (falco subbuteo):falconidae-falconiformes,bird,,aves,falconiformes,falconidae,falco,subbuteo,
falco subbuteo,bird,,aves,falconiformes,falconidae,falco,subbuteo,
common kestrel (falco tinnunculus):falconidae-falconiformes,bird,common kestrel,aves,falconiformes,falconidae,falco,tinnunculus,
falco tinnunculus,bird,common kestrel,aves,falconiformes,falconidae,falco,tinnunculus,
falco vespertinus,bird,red-footed falcon,aves,falconiformes,falconidae,falco,vespertinus,
falconidae (unidentified) (falconidae (incognita)):falconidae-falconiformes,bird,,aves,falconiformes,falconidae,,,
falconidae (incognita),bird,,aves,falconiformes,falconidae,,,
ortalis vetula,bird,plain chachalaca,aves,galliformes,cracidae,ortalis,vetula,
cracidae (unidentified) (cracidae (incognita)):cracidae-galliformes,bird,,aves,galliformes,cracidae,,,
cracidae (incognita),bird,,aves,galliformes,cracidae,,,
common guineafowl (numida meleagris):numididae-galliformes,bird,helmeted guineafowl,aves,galliformes,numididae,numida,meleagris,
numida meleagris,bird,helmeted guineafowl,aves,galliformes,numididae,numida,meleagris,
