disease,standardized_disease_name,source,alt,group,order,family,genus,species,abbreviation,details,details1,details2,vector
Severe Acute Respiratory Syndrome (SARS),severe acute respiratory syndrome (sars),aido,,virus,Nidovirales,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome coronavirus 1,,RNA,single-stranded,positive-sense,positive-sense
SARS-CoV-2,sars-cov-2,csse,,virus,Nidovirales,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,RNA,single-stranded,positive-sense,positive-sense
sars-cov-2,sars-cov-2,oie,,virus,Nidovirales,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,RNA,single-stranded,positive-sense,positive-sense
ovine pox disease,ovine pox disease,oie,Sheeppox,virus,Chitovirales,Poxviridae,Capripoxvirus,Sheeppox virus,SPV,DNA,double-stranded,,
peste des petits ruminants,peste des petits ruminants,oie,Ovine rinderpest,virus,Mononegavirales,Paramyxoviridae,Morbillivirus,Small ruminant morbillivirus,PPR,RNA,single-stranded,negative-sense,
aujeszkys disease,aujeszkys disease,oie,pseudorabies,virus,Herpesvirales,Herpesviridae,Varicellovirus,Suid alphaherpesvirus 1,SuHV-1,DNA,double-stranded,,
taura syndrome,taura syndrome,oie,,virus,Picornavirales,Dicistroviridae,Aparavirus,Taura syndrome virus,TSV,RNA,single-stranded,positive-sense,
tilapia lake  disease,tilapia lake disease,oie,,virus,Articulavirales,Amnoonviridae,Tilapinevirus,Tilapia tilapinevirus,TiLV,RNA,single-stranded,negative-sense,
mycobacterium tuberculosis,mycobacterium tuberculosis,oie,,bacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,tuberculosis,,gram-resistant,aerobe,,
Tularemia,tularemia,aido,rabbit fever,bacteria,Thiotrichales,Francisellaceae,Francisella,tularensis,,gram-negative,aerobe,,
tularemia,tularemia,oie,rabbit fever,bacteria,Thiotrichales,Francisellaceae,Francisella,tularensis,,gram-negative,aerobe,,"ticks,deer flies"
aethina tumida,aethina tumida,oie,small hive beetle inf.,eukaryote,Coleoptera,Nitidulidae,Aethina,tumida,,beetle,,,
small hive beetle inf.,small hive beetle inf.,oie,aethina tumida,eukaryote,Coleoptera,Nitidulidae,Aethina,tumida,,insecta,,,
venezuelan equine encephalitis,venezuelan equine encephalitis,oie,,virus,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,VEE,RNA,single-stranded,positive-sense,
maedi visna,maedi visna,oie,,virus,Ortervirales,Retroviridae,Lentivirus,Visna virus,VMV,RNA,single-stranded,positive-sense,
west nile encephalitis,west nile encephalitis,oie,,virus,Amarillovirales,Flaviviridae,Flavivirus,West Nile virus,WNV,RNA,single-stranded,positive-sense,
West Nile Virus,west nile encephalitis,aido,,virus,Amarillovirales,Flaviviridae,Flavivirus,West Nile virus,WNV,RNA,single-stranded,positive-sense,mosquito
white spot syndrome virus 1,white spot syndrome virus 1,oie,,virus,incertae sedis,Nimaviridae,Whispovirus,White spot syndrome virus,WSS,DNA,double-stranded,,
acarapisosis,acarapisosis,oie,,eukaryote,Trombidiformes,Tarsonemidae,Acarapis,woodi,,arachnid,,,
